Ranking;Name;Year;Minutes;Genre;Rating;Votes;Gross
171;Inside Out;2015;95;Animation, Adventure, Comedy;8,2;712,53;$356,46M
172;Ferris Bueller's Day Off;1986;105;Comedy;7,8;360,12;$70,14M
173;Easy Rider;1969;95;Adventure, Drama;7,3;110,98;$41,73M
174;Young Frankenstein;1974;106;Comedy;8,0;159,72;$86,30M
175;Amélie;2001;122;Comedy, Romance;8,3;756,83;$33,23M
176;Seven;1995;127;Crime, Drama, Mystery;8,6;1,645,902;$100,13M
177;All the President's Men;1976;138;Drama, History, Thriller;7,9;116,83;$70,60M
178;Leon;1994;110;Action, Crime, Drama;8,5;1,158,185;$19,50M
179;The Kid;1921;68;Comedy, Drama, Family;8,3;127,12;$5,45M
180;The Passion of Joan of Arc;1928;110;Biography, Drama, History;8,2;55,48;$0,02M
181;Life Is Beautiful;1997;116;Comedy, Drama, Romance;8,6;693,92;$57,60M
182;Rocky;1976;120;Drama, Sport;8,1;576,28;$117,24M
183;Trainspotting;1996;93;Drama;8,1;687,57;$16,50M
184;Star Wars: Return of the Jedi;1983;131;Action, Adventure, Fantasy;8,3;1,052,027;$309,13M
185;The Gold Rush;1925;95;Adventure, Comedy, Drama;8,2;112,08;$5,45M
186;Unforgiven;1992;130;Drama, Western;8,2;412,97;$101,16M
187;Memento;2000;113;Mystery, Thriller;8,4;1,235,654;$25,54M
188;Sunrise: A Song of Two Humans;1927;94;Drama, Romance;8,1;51,44;$0,54M
189;Nashville;1975;160;Comedy, Drama, Music;7,7;26,74;$14,82M
190;Cabaret;1972;124;Drama, Music, Musical;7,8;55,75;$42,77M
191;Saving Private Ryan;1998;169;Drama, War;8,6;1,387,433;$216,54M
192;The African Queen;1951;105;Adventure, Drama, Romance;7,7;79,45;$0,54M
193;In the Heat of the Night;1967;110;Drama, Mystery, Thriller;7,9;77,13;$24,38M
194;Dial M for Murder;1954;105;Crime, Thriller;8,2;176,88;$0,01M
195;The Wild Bunch;1969;145;Action, Adventure, Western;7,9;85,40;$12,06M
196;Titanic;1997;194;Drama, Romance;7,9;1,170,288;$659,33M
197;A Night at the Opera;1935;96;Comedy, Music, Musical;7,8;33,23;$2,54M
198;Platoon;1986;120;Drama, War;8,1;415,32;$138,53M
199;Once Upon a Time in America;1984;229;Crime, Drama;8,3;352,65;$5,32M
200;A Separation;2011;123;Drama;8,3;245,84;$7,10M
201;Toy Story 3;2010;103;Animation, Adventure, Comedy;8,3;835,28;$415,00M
202;The Sixth Sense;1999;107;Drama, Mystery, Thriller;8,2;991,32;$293,51M
203;The Conversation;1974;113;Drama, Mystery, Thriller;7,8;113,04;$4,42M
204;Sophie's Choice;1982;150;Drama, Romance;7,5;48,81;$30,04M
205;The French Connection;1971;104;Action, Crime, Drama;7,7;124,03;$15,63M
206;Do the Right Thing;1989;120;Comedy, Drama;7,9;103,16;$27,55M
207;Yankee Doodle Dandy;1942;126;Biography, Drama, Family;7,6;15,90;$11,80M
208;Ben-Hur;1959;212;Adventure, Drama;8,1;240,13;$74,70M
209;Almost Famous;2000;122;Adventure, Comedy, Drama;7,9;277,68;$32,53M
210;Brokeback Mountain;2005;134;Drama, Romance;7,7;358,65;$83,04M
211;The English Patient;1996;162;Drama, Romance, War;7,4;191,46;$78,65M
212;American History X;1998;119;Crime, Drama;8,5;1,120,669;$6,72M
213;The Sting;1973;129;Comedy, Crime, Drama;8,3;263,17;$159,60M
214;A Man for All Seasons;1966;120;Biography, Drama, History;7,7;34,99;$28,35M
215;Lost in Translation;2003;102;Comedy, Drama;7,7;456,34;$44,59M
216;Reservoir Dogs;1992;99;Crime, Thriller;8,3;1,016,403;$2,83M
217;Shakespeare in Love;1998;123;Comedy, Drama, History;7,1;226,13;$100,32M
218;Indiana Jones and the Last Crusade;1989;127;Action, Adventure;8,2;754,45;$197,17M
219;The Princess Bride;1987;98;Adventure, Family, Fantasy;8,0;428,50;$30,86M
220;A Woman Under the Influence;1974;155;Drama, Romance;8,1;25,71;$13,34M
221;Up;2009;96;Animation, Adventure, Comedy;8,3;1,041,976;$293,00M
222;The Green Mile;1999;189;Crime, Drama, Fantasy;8,6;1,297,477;$136,80M
223;Doctor Zhivago;1965;193;Drama, Romance, War;7,9;77,52;$111,72M
224;Pan's Labyrinth;2006;118;Drama, Fantasy, War;8,2;669,55;$37,63M
225;Goldfinger;1964;110;Action, Adventure, Thriller;7,7;191,96;$51,08M
226;Airplane!;1980;88;Comedy;7,7;240,99;$83,40M
227;Requiem for a Dream;2000;102;Drama;8,3;841,32;$3,64M
228;The Thing;1982;109;Horror, Mystery, Sci-Fi;8,2;426,18;$13,78M
229;Jurassic Park;1993;127;Action, Adventure, Sci-Fi;8,2;986,76;$402,45M
230;The Terminator;1984;107;Action, Sci-Fi;8,1;864,48;$38,40M
231;Blazing Saddles;1974;93;Comedy, Western;7,7;140,90;$119,50M
232;Finding Nemo;2003;100;Animation, Adventure, Comedy;8,2;1,042,137;$380,84M
233;The Wrestler;2008;109;Drama, Sport;7,9;307,45;$26,24M
234;Before Sunset;2004;80;Drama, Romance;8,1;265,17;$5,82M
235;Downfall;2004;156;Biography, Drama, History;8,2;356,65;$5,51M
236;Full Metal Jacket;1987;116;Drama, War;8,3;742,62;$46,36M
237;The Thin Red Line;1998;170;Drama, History, War;7,6;189,00;$36,40M
238;Rio Bravo;1959;141;Western;8,0;63,36;$12,54M
239;Planet of the Apes;1968;112;Adventure, Sci-Fi;8,0;181,32;$33,40M
240;La haine;1995;98;Crime, Drama;8,1;174,83;$0,31M
241;Three Colors: Blue;1993;94;Drama, Music, Mystery;7,9;103,06;$1,32M
242;Star Trek II: The Wrath of Khan;1982;113;Action, Adventure, Sci-Fi;7,7;122,69;$78,91M
